Vehicle Type,Make,Model,Year,Price,Milleage,District,published date
Car,Suzuki,Alto Japan,2003.0,"Rs. 3,700,000",160000.0,Kegalle,2025-12-14
Lorry,Tata,Dimo Lokka,2015.0,Negotiable,84245.0,Minuwangoda,2025-12-14
Car,Suzuki,Wagon R Custom ZX,2025.0,"Rs. 8,950,000",150.0,Kalutara,2025-12-14
Car,Nissan,Sunny N17,2011.0,"Rs. 6,000,000",99000.0,Dehiwala-Mount-Lavinia,2025-12-14
Car,Suzuki,SWIFT RS TURBO SAFETY,2018.0,"Rs. 7,950,000",95000.0,Colombo,2025-12-14
Car,Suzuki,Wagon R FX Safety,2024.0,Negotiable,2500.0,Kandy,2025-12-14
Car,Nissan,Pulsar CJ 2,1997.0,"Rs. 2,900,000",,Bandarawela,2025-12-14
Car,Suzuki,CELERIO,2014.0,Negotiable,146000.0,Malabe,2025-12-14
Lorry,Tata,Dimo Batta,2014.0,Negotiable,110000.0,Middeniya,2025-12-14
Motorbike,Hero,Pleasure,2008.0,"Rs. 265,000",27000.0,Matale,2025-12-14
SUV,Toyota,RAIZE Z Grade,2020.0,Negotiable,46000.0,Gampaha,2025-12-14
Car,Toyota,Prius,2014.0,Negotiable,169200.0,Kegalle,2025-12-14
Motorbike,Bajaj,CT-100,2024.0,Negotiable,9000.0,Homagama,2025-12-14
Car,Chery,QQ,2006.0,"Rs. 2,000,000",65000.0,Dehiwala-Mount-Lavinia,2025-12-14
Car,Volkswagen,T CROSS,2022.0,"Rs. 12,950,000",11000.0,Colombo,2025-12-14
,Yanmar,B-27,2024.0,"Rs. 1,700,000",12345.0,Mawanella,2025-12-14
SUV,Honda,Vezel,2014.0,"Rs. 9,875,000",82500.0,Nugegoda,2025-12-14
Motorbike,Honda,Cd 125 T Benly,1990.0,"Rs. 475,000",48889.0,Divulapitiya,2025-12-14
Car,Toyota,Corolla Wagon Elephant Back Ee102,2000.0,"Rs. 2,990,000",259000.0,Kottawa,2025-12-14
Lorry,Tata,Dimo Batta Ace,2015.0,Negotiable,97312.0,Kadawatha,2025-12-14
Car,Toyota,Aqua S Grade,2012.0,Negotiable,170000.0,Matara,2025-12-14
Car,Toyota,Belta,2011.0,"Rs. 6,775,000",141000.0,Piliyandala,2025-12-14
Motorbike,Mahindra,Gusto,2016.0,Negotiable,21000.0,Colombo,2025-12-14
Motorbike,Suzuki,Gs 125 Japan,1999.0,"Rs. 215,000",,Kandy,2025-12-14
Car,Nissan,B11,1985.0,"Rs. 16,750,000",1250000.0,Kurunegala,2025-12-14
Motorbike,Bajaj,Pulsar,2016.0,Negotiable,53000.0,Homagama,2025-12-14
Three Wheel,Bajaj,RE,2004.0,"Rs. 860,000",12345.0,Pannipitiya,2025-12-14
Car,Toyota,Allion 260,2007.0,"Rs. 8,275,000",200000.0,Kandana,2025-12-14
Motorbike,Hero,Pleasure,2012.0,Negotiable,31000.0,Kuliyapitiya,2025-12-14
Car,Suzuki,Maruti,2011.0,"Rs. 2,325,000",69000.0,Kandy,2025-12-14
Car,Toyota,PRIUS G GRADE,2013.0,Negotiable,168000.0,Gampaha,2025-12-14
SUV,Toyota,CHR GT TURBO 2WD,2018.0,"Rs. 13,800,000",86000.0,Colombo,2025-12-14
Motorbike,Honda,Dio,2018.0,"Rs. 560,000",27000.0,Wennappuwa,2025-12-14
Car,Suzuki,Wagon R FZ Safety,2017.0,"Rs. 6,350,000",113000.0,Kurunegala,2025-12-14
Car,Nissan,Cefiro A33,2000.0,"Rs. 3,385,000",178000.0,Kandy,2025-12-13
Car,Nissan,Sunny,2000.0,"Rs. 4,300,000",180.0,Gampaha,2025-12-12
Car,Suzuki,Wagon R,2023.0,Negotiable,20000.0,Colombo,2025-12-06
Car,Toyota,PRIUS 4th Generation W50,2016.0,"Rs. 14,200,000",122000.0,Kandana,2025-12-12
Car,Mitsubishi,4DR,1990.0,"Rs. 800,000",716184.0,Polgahawela,2025-12-14
Van,Nissan,E25,2003.0,"Rs. 8,250,000",380000.0,Elpitiya,2025-12-14
Lorry,Isuzu,ELF NPR85AN Crane Truck,2018.0,"Rs. 13,100,000",518000.0,Batticaloa,2025-12-14
Car,Suzuki,Alto K10,2012.0,"Rs. 3,700,000",3700000.0,Kegalle,2025-12-14
Car,Toyota,Corolla 121 G Grade,2005.0,"Rs. 6,885,000",175000.0,Kolonnawa,2025-12-14
Three Wheel,Bajaj,RE,2013.0,Negotiable,58000.0,Kandy,2025-12-14
Car,Micro,Panda,2016.0,Negotiable,36100.0,Anuradapura,2025-12-14
Three Wheel,Bajaj,2 Stroke,2004.0,"Rs. 888,000",,Mirigama,2025-12-14
SUV,Mitsubishi,Pajero IO,2003.0,"Rs. 4,990,000",109470.0,Kadawatha,2025-12-14
Motorbike,KTM,Duke 125,2020.0,"Rs. 725,000",40000.0,Kegalle,2025-12-14
Motorbike,Honda,CD200 RoadMaster,1983.0,"Rs. 625,000",,Kiribathgoda,2025-12-14
SUV,Honda,Vezel Z Limited Edition,2023.0,Negotiable,19000.0,Kurunegala,2025-12-14
Car,Hyundai,Sonata Gls,2000.0,"Rs. 2,675,000",110000.0,Kaduwela,2025-12-14
Car,Suzuki,SWIFT RS TURBO SAFETY,2019.0,"Rs. 9,650,000",62000.0,Colombo,2025-12-14
Car,Toyota,Axio G Grade,2015.0,Negotiable,158000.0,Galle,2025-12-14
Van,Suzuki,DA17,2016.0,"Rs. 5,675,000",90000.0,Maharagama,2025-12-14
Car,Suzuki,Alto,2015.0,"Rs. 3,740,000",112000.0,Kurunegala,2025-12-14
Van,Nissan,Vanette,1994.0,"Rs. 3,550,000",123456.0,Ampara,2025-12-14
SUV,Daihatsu,Rocky Premium G,2023.0,"Rs. 13,500,000",600.0,Pannipitiya,2025-12-14
Lorry,Mitsubishi,10.5 Full Body,2000.0,"Rs. 5,200,000",289000.0,Pannipitiya,2025-12-14
Car,Toyota,Allion 260,2007.0,Negotiable,150243.0,Anuradapura,2025-12-14
Motorbike,Suzuki,Palat,2025.0,"Rs. 195,000",123.0,Kurunegala,2025-12-14
Car,Micro,Panda,2012.0,"Rs. 2,650,000",88000.0,Panadura,2025-12-14
SUV,Honda,CRV AWD,2019.0,"Rs. 19,000,000",114800.0,Kadawatha,2025-12-14
Motorbike,Bajaj,Platina 125,2009.0,"Rs. 185,000",77000.0,Kalutara,2025-12-14
Car,Suzuki,SWIFT RS TURBO SAFETY,2018.0,"Rs. 9,275,000",89000.0,Colombo,2025-12-14
Motorbike,Honda,CD110,2018.0,"Rs. 335,000",50000.0,Kiribathgoda,2025-12-14
Three Wheel,Bajaj,2 Stroke,1999.0,"Rs. 325,000",30000.0,Gampaha,2025-12-14
Motorbike,Hero-Honda,Passion Plus,2021.0,Negotiable,500.0,Galle,2025-12-14
Three Wheel,Bajaj,Re,2015.0,"Rs. 1,390,000",64000.0,Kiribathgoda,2025-12-14
Car,Toyota,PASSO,2007.0,"Rs. 4,750,000",168000.0,Gampaha,2025-12-14
Motorbike,Yamaha,Szx150,2014.0,"Rs. 235,000",39000.0,Galle,2025-12-14
Car,Toyota,Vitz KSP130,2016.0,"Rs. 6,990,000",113200.0,Battaramulla,2025-12-14
Van,Toyota,Grand Hiace,2008.0,"Rs. 7,800,000",146000.0,Kalutara,2025-12-14
Motorbike,Bajaj,CT-100,2013.0,"Rs. 320,000",32281.0,,2025-12-14
Motorbike,TVS,Victor,2007.0,"Rs. 125,000",59000.0,Gampaha,2025-12-14
Car,Toyota,AXIO DAA NKE165,2015.0,"Rs. 9,790,000",112450.0,Malabe,2025-12-14
Motorbike,Hero,Pleasure,2016.0,Negotiable,48000.0,Ragama,2025-12-14
SUV,Audi,Q2,2017.0,"Rs. 13,250,000",65000.0,Colombo,2025-12-14
Motorbike,TVS,Scooty Streak,2011.0,"Rs. 200,000",30000.0,Gampaha,2025-12-14
Car,Suzuki,Wagon R Custom Zx,2025.0,"Rs. 8,800,000",160.0,Ambalangoda,2025-12-14
SUV,Toyota,Land Cruiser Prado 120,2004.0,"Rs. 14,990,000",242100.0,Anuradapura,2025-12-14
Car,Toyota,Axio X Grade,2007.0,"Rs. 7,260,000",184000.0,Colombo,2025-12-05
SUV,Mitsubishi,4dr5,1979.0,"Rs. 3,000,000",400000.0,Kandy,2025-12-14
Motorbike,Bajaj,CT-100,2025.0,Negotiable,,Kiribathgoda,2025-12-14
Three Wheel,Bajaj,2 Stroke,2001.0,"Rs. 595,000",2147.0,Mawanella,2025-12-14
Motorbike,Honda,Dio,2011.0,"Rs. 225,000",45200.0,Kadawatha,2025-12-14
SUV,Honda,VEZEL RS SENSING,2017.0,Negotiable,95000.0,Colombo,2025-12-14
Motorbike,Honda,Dio,2012.0,"Rs. 350,000",56700.0,Gampaha,2025-12-14
SUV,Peugeot,3008,2012.0,"Rs. 9,500,000",170000.0,Dehiwala-Mount-Lavinia,2025-12-14
Three Wheel,Piaggio,Ape,2009.0,"Rs. 1,050,000",85000.0,Gampaha,2025-12-14
Car,Nissan,Caravan,1995.0,Negotiable,,Kuliyapitiya,2025-12-14
Car,Suzuki,Wagon R FX Safety,2018.0,"Rs. 6,250,000",95650.0,Pannipitiya,2025-12-14
SUV,Toyota,Land Cruiser Prado 120 VX,2006.0,Negotiable,210000.0,Kandy,2025-12-14
Car,Suzuki,Swift,2002.0,"Rs. 3,890,000",142300.0,Gampaha,2025-12-14
Motorbike,Yamaha,Street Rally,2018.0,"Rs. 120,000",51000.0,Kandy,2025-12-14
Car,Toyota,Vitz,2008.0,Negotiable,175000.0,Negombo,2025-12-14
Car,Suzuki,Hustler,2025.0,"Rs. 7,850,000",,Colombo,2025-12-14
Three Wheel,Bajaj,RE,2006.0,"Rs. 913,000",40000.0,Gampaha,2025-12-14
SUV,DFSK,I-AUTO,2023.0,"Rs. 11,400,000",47000.0,Hatton,2025-12-14
Motorbike,Singer,Safari,2015.0,"Rs. 135,000",,Kurunegala,2025-12-14
Three Wheel,Bajaj,2 Stroke,2006.0,"Rs. 875,000",1234.0,Kaduwela,2025-12-14
Car,Suzuki,SWIFT RS TURBO,2017.0,"Rs. 8,650,000",73000.0,Colombo,2025-12-14
Three Wheel,Bajaj,Re,2020.0,Negotiable,28050.0,Kurunegala,2025-12-14
Motorbike,Bajaj,Platina,2010.0,"Rs. 215,000",46613.0,Pannala,2025-12-14
Car,Toyota,Yaris,2007.0,"Rs. 6,150,000",136000.0,Boralesgamuwa,2025-12-14
Motorbike,Loncin,Super Cub,2005.0,"Rs. 85,000",86000.0,Gampaha,2025-12-14
Lorry,Tata,Dimo Batta,2009.0,"Rs. 1,275,000",86562.0,Pannala,2025-12-14
Car,Toyota,Premio,2010.0,Negotiable,131000.0,Kurunegala,2025-12-14
Lorry,Isuzu,NPR 4BE1 350 Elf,1989.0,"Rs. 2,850,000",123456.0,Kurunegala,2025-12-14
Van,Toyota,CR41,1998.0,"Rs. 6,685,000",198000.0,Piliyandala,2025-12-14
Lorry,Mitsubishi,Canter,2011.0,Negotiable,,Dambulla,2025-12-14
Motorbike,Hero,Pleasure,2015.0,"Rs. 280,000",,Kurunegala,2025-12-14
Tractor,Ford,3600,1975.0,"Rs. 575,000",12000.0,Kuliyapitiya,2025-12-14
Motorbike,Honda,Dio,2025.0,Negotiable,10000.0,Gampaha,2025-12-14
Three Wheel,Bajaj,2 Stroke,2006.0,"Rs. 915,000",75864.0,Divulapitiya,2025-12-14
Motorbike,TVS,Champ,2006.0,"Rs. 65,000",,Gampaha,2025-12-14
Car,Micro,PANDA,2013.0,Negotiable,65000.0,Malabe,2025-12-14
Car,Suzuki,WAGON R FZ SAFETY,2017.0,"Rs. 6,650,000",54000.0,Colombo,2025-12-14
Van,Toyota,LH113,1995.0,Negotiable,325000.0,Kandy,2025-12-14
Motorbike,Honda,ACE 125,2014.0,"Rs. 210,000",60000.0,Kiribathgoda,2025-12-14
Motorbike,Yamaha,Tw 200,2015.0,"Rs. 870,000",35000.0,Gampaha,2025-12-14
Motorbike,Honda,Activa I,2015.0,"Rs. 350,000",36521.0,Moratuwa,2025-12-14
Van,Toyota,Shell LH51,1983.0,"Rs. 3,275,000",116000.0,Hanwella,2025-12-14
Motorbike,Hero,Pleasure,2014.0,"Rs. 345,000",35000.0,Piliyandala,2025-12-13
Car,Suzuki,Swift,2004.0,"Rs. 4,500,000",214000.0,Gampaha,2025-12-14
Car,Honda,Fit Gp1 Navi Premium,2012.0,"Rs. 6,450,000",169000.0,Kesbewa,2025-12-14
SUV,Honda,Vezel Z Grade,2025.0,"Rs. 18,300,000",11.0,Gampaha,2025-12-14
Lorry,Tata,Dimo Batta,2008.0,"Rs. 1,500,000",89000.0,Polonnaruwa,2025-12-14
Car,Suzuki,Wagon R Fx,2016.0,"Rs. 5,675,000",106000.0,Piliyandala,2025-12-14
Lorry,Mahindra,Maxximo HD Series,2019.0,"Rs. 2,550,000",114225.0,Matara,2025-12-14
Car,Daihatsu,Mira,2003.0,"Rs. 3,890,000",141670.0,Pannipitiya,2025-12-14
Car,Toyota,Aqua G,2014.0,"Rs. 7,650,000",147200.0,Kuliyapitiya,2025-12-14
Car,Toyota,Allion 260 G,2009.0,"Rs. 8,300,000",,Gampaha,2025-12-14
Motorbike,Hero,Passion Pro,2018.0,"Rs. 395,000",60000.0,Jaffna,2025-12-14
Motorbike,Bajaj,Pulsar 150 UG,2017.0,"Rs. 635,000",44700.0,Kurunegala,2025-12-14
Car,Toyota,Prius,2011.0,"Rs. 9,500,000",18000.0,Katunayake,2025-12-14
Motorbike,Bajaj,Platina 125,2009.0,"Rs. 205,000",65000.0,Kaduwela,2025-12-14
Motorbike,Bajaj,Bajaj,2005.0,Rs. 138,222222.0,Avissawella,2025-12-14
Car,Suzuki,Celerio,2014.0,"Rs. 4,890,000",78429.0,Kaduwela,2025-12-14
SUV,Toyota,CHR GT Eagle Eye Bruno,2020.0,"Rs. 15,475,000",33700.0,Panadura,2025-12-14
Car,Honda,Fit GD1,2004.0,"Rs. 4,875,000",123456.0,Negombo,2025-12-14
Car,Micro,Panda,2018.0,Negotiable,60000.0,Gampaha,2025-12-14
Motorbike,Bajaj,Platina,2015.0,"Rs. 385,000",41000.0,Piliyandala,2025-12-14
Bus,Eicher,Eicher,2007.0,"Rs. 7,250,000",150000.0,Nittambuwa,2025-12-14
SUV,Toyota,Land Cruiser BJ40,1979.0,"Rs. 5,200,000",123.0,Kiribathgoda,2025-12-14
SUV,Honda,Vezel Z Grade Orange Pack,2014.0,"Rs. 9,200,000",158000.0,Maharagama,2025-12-14
Motorbike,Hero-Honda,CD Deluxe 100,2011.0,"Rs. 160,000",65000.0,Kiribathgoda,2025-12-14
Pickup,Nissan,NAVARA,2007.0,"Rs. 5,895,000",158508.0,Malabe,2025-12-14
Motorbike,Bajaj,CT-100,2009.0,"Rs. 275,000",73839.0,Negombo,2025-12-14
Van,Toyota,Lotto CR27,1999.0,"Rs. 5,350,000",310000.0,Kandy,2025-12-14
Car,Suzuki,SPACIA CUSTOM,2024.0,"Rs. 9,100,000",3500.0,Kurunegala,2025-12-14
Motorbike,Honda,Dio 110,2025.0,"Rs. 730,000",,Gampaha,2025-12-14
Motorbike,Yamaha,Street Rally,2018.0,"Rs. 120,000",34000.0,Kandy,2025-12-14
Car,Honda,FIT GP1 10th Anniversary,2012.0,"Rs. 6,250,000",140000.0,Kottawa,2025-12-14
Motorbike,Bajaj,CT-100,2007.0,"Rs. 220,000",47520.0,Kelaniya,2025-12-14
Car,Nissan,Bluebird,1996.0,"Rs. 2,580,000",210000.0,Anuradapura,2025-12-14
Car,Toyota,Premio,2013.0,Negotiable,159000.0,Kuliyapitiya,2025-12-14
Tractor,Other,RK125,2015.0,"Rs. 625,000",2.0,Polonnaruwa,2025-12-14
Car,Nissan,Sunny N17 Super Saloon,2010.0,"Rs. 5,490,000",181825.0,Kaduwela,2025-12-14
Pickup,Toyota,Hilux Revo G,2017.0,"Rs. 18,900,000",201423.0,Pannipitiya,2025-12-14
Bus,Ashok-Leyland,Viking,2005.0,"Rs. 7,050,000",,Moneragala,2025-12-14
Car,Hyundai,Sonata H Matic,2002.0,Negotiable,167000.0,Nugegoda,2025-12-14
Motorbike,Suzuki,Burgman,2020.0,"Rs. 755,000",51000.0,Minuwangoda,2025-12-14
Motorbike,Bajaj,Platina,2007.0,"Rs. 182,000",75000.0,Kaduwela,2025-12-14
Car,Nissan,Caravan,1995.0,"Rs. 8,600,000",221927.0,Kuliyapitiya,2025-12-14
Pickup,Toyota,Hilux,2010.0,"Rs. 13,400,000",170000.0,Kurunegala,2025-12-14
Car,Nissan,Sunny FB15,1999.0,"Rs. 4,000,000",120000.0,Kandy,2025-12-14
Car,Toyota,Corona At 190,1993.0,"Rs. 2,650,000",175000.0,Bandaragama,2025-12-14
SUV,Toyota,Prado 150,2015.0,Negotiable,119000.0,Horana,2025-12-13
SUV,Suzuki,Jimny XC,2024.0,"Rs. 9,000,000",6000.0,Colombo,2025-12-01
Car,Suzuki,Wagon R Stingray,2025.0,"Rs. 9,250,000",,Kurunegala,2025-12-04
Car,Toyota,Vitz Ksp90,2007.0,"Rs. 5,675,000",173000.0,Ratnapura,2025-12-14
Car,Suzuki,Alto 800,2015.0,"Rs. 3,690,000",81000.0,Boralesgamuwa,2025-12-14
Motorbike,Hero-Honda,Hunk Double Disk,2017.0,"Rs. 175,000",56228.0,Matugama,2025-12-14
Motorbike,Bajaj,V15,2017.0,"Rs. 332,000",,Anuradapura,2025-12-14
Car,Suzuki,Alto Lxi,2018.0,"Rs. 4,290,000",91751.0,Kaduwela,2025-12-14
Motorbike,Bajaj,CT-100,2021.0,"Rs. 520,000",60000.0,Gampaha,2025-12-14
Car,Suzuki,Alto Lxi,2015.0,"Rs. 3,690,000",141240.0,Nugegoda,2025-12-14
SUV,Toyota,LAND CRUISER V8 ZX,2011.0,"Rs. 53,000,000",102000.0,Malabe,2025-12-14
Lorry,Toyota,KF LN 14,2003.0,"Rs. 3,200,000",,Kuliyapitiya,2025-12-14
SUV,DFSK,Glory 580 L,2020.0,"Rs. 8,250,000",23241.0,Pannipitiya,2025-12-14
Motorbike,Bajaj,Platina 125,2011.0,"Rs. 230,000",,Kotte,2025-12-14
Motorbike,TVS,Victor Gl,2004.0,"Rs. 120,000",100000.0,Kandy,2025-12-14
Motorbike,Bajaj,Pulsar 180,2006.0,Rs. 250,,Kandy,2025-12-14
Motorbike,TVS,Scooty Streak,2011.0,Negotiable,,Homagama,2025-12-14
Van,Toyota,KDH 200,2005.0,Negotiable,,Embilipitiya,2025-12-14
Car,Nissan,FB14,1995.0,Negotiable,,Kurunegala,2025-12-14
Car,Honda,N Wgn Custom Turbo,2016.0,"Rs. 6,590,000",92106.0,Kaduwela,2025-12-14
Motorbike,TVS,Metro,2014.0,"Rs. 240,000",111.0,Mirigama,2025-12-14
Motorbike,Bajaj,Pulsar NS160,2019.0,"Rs. 705,000",35000.0,Piliyandala,2025-12-14
Three Wheel,Bajaj,RE,2014.0,Negotiable,54340.0,Boralesgamuwa,2025-12-14
Motorbike,Bajaj,Platina Es,2020.0,Negotiable,32000.0,Colombo,2025-12-14
SUV,Mitsubishi,Montero Sport,2012.0,Negotiable,237200.0,Galle,2025-12-14
Three Wheel,Piaggio,Ape,2018.0,Negotiable,65395.0,Polgahawela,2025-12-14
Pickup,Toyota,Hilux,2016.0,"Rs. 14,500,000",120000.0,Colombo,2025-12-14
Car,Suzuki,CELERIO X ZXI,2018.0,"Rs. 5,825,000",81500.0,Ja-Ela,2025-12-14
Motorbike,Bajaj,CT-100ES,2024.0,"Rs. 520,000",9000.0,Ragama,2025-12-14
Car,Suzuki,Wagon R Custom Z HUD,2025.0,"Rs. 8,750,000",245.0,Nittambuwa,2025-12-14
Motorbike,TVS,Wego,2015.0,"Rs. 395,000",29850.0,Negombo,2025-12-14
Motorbike,Bajaj,CT-100,2009.0,Negotiable,64579.0,Matugama,2025-12-14
Car,Chery,Qq,2006.0,"Rs. 1,390,000",90000.0,Kurunegala,2025-12-14
Car,Honda,Grace Ex,2016.0,"Rs. 9,600,000",112000.0,Colombo,2025-12-14
SUV,Toyota,Land Cruiser Prado 150,2017.0,"Rs. 38,500,000",152000.0,Colombo,2025-12-14
Car,Suzuki,SWIFT,2006.0,"Rs. 4,550,000",1.0,Kandy,2025-12-14
Motorbike,Hero,Pleasure,2015.0,"Rs. 335,000",39000.0,Homagama,2025-12-14
Motorbike,Honda,Navi,2017.0,"Rs. 370,000",111111.0,Anuradapura,2025-12-14
Car,Toyota,Corolla AE110,1999.0,"Rs. 4,000,000",230.0,Negombo,2025-12-14
Car,Toyota,Prius 3nd Generation,2011.0,"Rs. 8,875,000",185000.0,Kiribathgoda,2025-12-14
Car,Toyota,Vitz,2018.0,"Rs. 8,750,000",115222.0,Horana,2025-12-14
Car,Micro,Panda Cross,2015.0,"Rs. 3,690,000",61644.0,Kaduwela,2025-12-14
SUV,Toyota,RAIZE,2022.0,Negotiable,13000.0,Kurunegala,2025-12-14
Motorbike,Bajaj,Discover 125,2014.0,"Rs. 324,000",79000.0,Gampaha,2025-12-14
SUV,Honda,VEZEL Z PLAY MOONROOF,2022.0,"Rs. 18,200,000",16000.0,Kurunegala,2025-12-09
Car,Toyota,Yaris G,2022.0,"Rs. 9,750,000",13100.0,Kadawatha,2025-12-09
SUV,DFSK,Glory I-Auto,2021.0,"Rs. 12,500,000",40000.0,Colombo,2025-12-12
Motorbike,Ranomoto,Waves 100,2008.0,"Rs. 110,000",50000.0,Ganemulla,2025-12-14
Van,Suzuki,Every,2017.0,"Rs. 5,735,000",100500.0,Colombo,2025-12-14
Car,Toyota,Prius,2011.0,"Rs. 9,100,000",178500.0,Avissawella,2025-12-14
Motorbike,Honda,Dio Today Japan,2022.0,Negotiable,3752.0,Kurunegala,2025-12-14
Van,Mazda,Bongo,1994.0,"Rs. 4,375,000",3055168.0,Kalutara,2025-12-14
Van,Mitsubishi,Delica P25,1992.0,"Rs. 7,450,000",218875.0,Pannipitiya,2025-12-14
Motorbike,TVS,Star Sport,2019.0,"Rs. 115,000",32000.0,Homagama,2025-12-14
Car,Peugeot,406,2000.0,Negotiable,,Kottawa,2025-12-14
Motorbike,TVS,XL Super 48cc,2019.0,"Rs. 185,000",17000.0,Galle,2025-12-14
Motorbike,Bajaj,CT-100,2005.0,Negotiable,62469.0,Matugama,2025-12-14
Car,Toyota,Vitz U Grade,2008.0,"Rs. 5,290,000",170000.0,Negombo,2025-12-14
Motorbike,Bajaj,Boxer 100,2012.0,"Rs. 190,000",85700.0,Matale,2025-12-14
Car,Suzuki,Wagon R Stingray,2018.0,"Rs. 6,950,000",94000.0,Kandy,2025-12-14
Motorbike,Bajaj,CT-100,2016.0,"Rs. 404,000",48000.0,Gampaha,2025-12-14
Motorbike,Bajaj,Discover 135,2009.0,"Rs. 340,000",52000.0,Gampaha,2025-12-14
Motorbike,Honda,PCX 160,2025.0,Negotiable,322.0,Kolonnawa,2025-12-14
Car,Suzuki,CELERIO X ZXI EDITION,2018.0,"Rs. 5,925,000",61000.0,Ja-Ela,2025-12-14
Car,Toyota,Corolla Axio,2014.0,"Rs. 8,500,000",129000.0,Horana,2025-12-14
SUV,Kia,Sportage,2011.0,"Rs. 8,750,000",161000.0,Katunayake,2025-12-14
Motorbike,TVS,Ntorq,2018.0,"Rs. 525,000",33775.0,Galle,2025-12-14
Car,Suzuki,S Presso VXI,2019.0,"Rs. 5,990,000",73000.0,Kaduwela,2025-12-14
Car,Toyota,Vitz,2017.0,"Rs. 8,000,000",62000.0,Divulapitiya,2025-12-14
Lorry,Mitsubishi,Canter,1996.0,"Rs. 4,550,000",,Kurunegala,2025-12-14
Motorbike,Hero,Pleasure,2011.0,Negotiable,55767.0,Matugama,2025-12-14
Car,Perodua,Bezza,2018.0,"Rs. 7,350,000",97222.0,Horana,2025-12-14
Motorbike,TVS,Ntorq,2019.0,"Rs. 475,000",45000.0,Gampaha,2025-12-14
Car,Nissan,FB15,2004.0,"Rs. 4,550,000",157000.0,Kegalle,2025-12-14
Car,Toyota,Corolla 2,1996.0,"Rs. 975,000",,Kottawa,2025-12-14
Motorbike,Bajaj,Platina 100 Disk,2007.0,Negotiable,57000.0,Colombo,2025-12-14
SUV,Mitsubishi,Outlander PHEV,2015.0,"Rs. 14,750,000",119000.0,Nugegoda,2025-12-14
Motorbike,Bajaj,Pulsar,2007.0,"Rs. 220,000",1000.0,Kegalle,2025-12-14
Motorbike,Bajaj,Pulsar 135,2013.0,"Rs. 280,000",66000.0,Kandy,2025-12-14
SUV,Daihatsu,Terios,2007.0,"Rs. 6,500,000",175000.0,Gampaha,2025-12-14
Pickup,Toyota,Hilux Vigo,2006.0,"Rs. 8,250,000",198000.0,Kottawa,2025-12-14
Car,Toyota,Aqua G Grade,2014.0,"Rs. 7,850,000",68400.0,Ragama,2025-12-14
Car,Honda,CIVIC EX,2018.0,"Rs. 13,300,000",69000.0,Galle,2025-12-14
Three Wheel,Bajaj,RE 4 Stroke,2018.0,"Rs. 1,690,000",40000.0,Gampaha,2025-12-14
Motorbike,Hero,Pleasure,2015.0,"Rs. 270,000",123.0,Colombo,2025-12-14
Three Wheel,Bajaj,RE,2012.0,"Rs. 1,295,000",,Negombo,2025-12-14
Motorbike,Bajaj,Discover 125,2007.0,"Rs. 95,000",56228.0,Matugama,2025-12-14
Car,Toyota,Aqua,2013.0,"Rs. 7,600,000",104000.0,Colombo,2025-12-14
Car,Toyota,PASSO,2009.0,"Rs. 5,250,000",116500.0,Dompe,2025-12-10
SUV,Kia,SPORTAGE,2016.0,"Rs. 13,900,000",82000.0,Kotikawatta,2025-12-05
Three Wheel,Bajaj,RE 4 Stroke,2019.0,"Rs. 1,590,000",65000.0,Ja-Ela,2025-12-13
Motorbike,Yamaha,Fz Version 3.0,2019.0,"Rs. 250,000",35000.0,Kottawa,2025-12-14
SUV,Land-Rover,Freelander,1999.0,"Rs. 4,900,000",123296.0,Pannipitiya,2025-12-14
Motorbike,TVS,Metro Sport,2019.0,"Rs. 335,000",30000.0,Anuradapura,2025-12-14
SUV,Toyota,RAV4,2000.0,"Rs. 7,650,000",105415.0,Malabe,2025-12-14
SUV,Micro,Rexton,2015.0,"Rs. 11,900,000",115000.0,Dehiwala-Mount-Lavinia,2025-12-14
Three Wheel,Piaggio,Ape,2012.0,"Rs. 1,360,000",74000.0,Homagama,2025-12-14
Motorbike,Bajaj,Pulsar 150,2011.0,"Rs. 140,000",10.0,Matugama,2025-12-14
Car,Suzuki,Wagon R Fz Safety,2017.0,"Rs. 6,790,000",117300.0,Kaduwela,2025-12-14
SUV,Mitsubishi,4DR5,1985.0,"Rs. 3,150,000",1111.0,Kurunegala,2025-12-14
Motorbike,Bajaj,Pulsar,2012.0,"Rs. 205,000",58326.0,Galle,2025-12-14
Motorbike,Bajaj,Discover 135,2007.0,"Rs. 320,000",68662.0,Horana,2025-12-14
Three Wheel,Bajaj,Re,2019.0,"Rs. 1,630,000",,Welimada,2025-12-14
SUV,Kia,Sorento 1-247 Seater,2015.0,"Rs. 19,300,000",138000.0,Negombo,2025-12-14
Car,Suzuki,Alto,2015.0,"Rs. 3,675,000",98000.0,Kurunegala,2025-12-14
Motorbike,Honda,Dio,2018.0,Negotiable,47.0,Panadura,2025-12-14
Car,Nissan,FB15,2003.0,"Rs. 1,775,000",,Kottawa,2025-12-14
Motorbike,TVS,Xl Super,2018.0,Negotiable,,Kandy,2025-12-14
Car,Toyota,Aqua G Grade,2012.0,"Rs. 6,990,000",119000.0,Kurunegala,2025-12-14
Three Wheel,Bajaj,2 Stroke,2002.0,"Rs. 770,000",25242.0,Katunayake,2025-12-14
Van,Toyota,CM36,1991.0,"Rs. 3,075,000",200.0,Vavuniya,2025-12-14
