Make,Model,YOM,Price,Mileage,Engine CC,Fuel Type,URL
suzuki,N/A,2024,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Alto Japan 2024 Car Unregistered (Recondition)Posted by Prasanna Thalavinna on 2025-12-14 1:36 pm Pannipitiya< BackContact077 056 7558Price 6950000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelAlto JapanYOM2024Mileage (km)5600GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)660Detailssuzuki alto japan20245600 kmsafety optionauto gear650 ccjust cleared vehiclevehicle can be seen at prasanna motor house pannipitiyacall for more information0️⃣7️⃣7️⃣0️⃣5️⃣6️⃣7️⃣5️⃣5️⃣8️⃣ - vihaga36 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Alto Japan Cars in Sri LankaSuzuki Alto Japan 2024 Cars in Sri LankaSuzuki Alto Japan Cars in Pannipitiya Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-alto-japan-sale-pannipitiya-10893305
hyundai,N/A,2000,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsHyundai Accent 2000 Car (Used)Posted by Lahiru Dewakarage on 2025-12-14 1:31 pm Horana< BackContact071 724 2678Price 2450000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeHyundaiModelAccentYOM2000Mileage (km)233000GearManualFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER WINDOWEngine (cc)1495Detailsniwase pawichi krana wahanayakihoda tatwayen etamudal apasasutawayak mata denu lebe...72 Views⚠Report a Problem☆Save Ad to FavoriteHyundai Cars in Sri LankaHyundai Accent Cars in Sri LankaHyundai Accent 2000 Cars in Sri LankaHyundai Accent Cars in Horana Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/hyundai-accent-sale-horana-10893280
toyota,N/A,2012,N/A,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-prius-sale-kalutara-10893258
honda,N/A,2015,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsHonda DIO 2015 Motorbike (Used)Posted by Dushmantha Gunathilaka on 2025-12-14 2:11 pm Katunayake< BackContact076 907 1279Price 375000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeHondaModelDIOYOM2015Mileage (km)0Engine (cc)110Start TypeKick / ElectricDetails-3 Views⚠Report a Problem☆Save Ad to FavoriteHonda Motorbikes in Sri LankaHonda DIO Motorbikes in Sri LankaHonda DIO 2015 Motorbikes in Sri LankaHonda DIO Motorbikes in Katunayake Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,110,N/A,https://riyasewana.com/buy/honda-dio-sale-katunayake-10893472
suzuki,N/A,2017,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Wagon R Fz 2017 Car (Used)Posted by Senuth Lenadora on 2025-12-14 2:06 pm Katunayake< BackContact074 049 6255Price 6500000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelWagon R FzYOM2017Mileage (km)11111GearAutomaticFuel TypePetrolOptionsAIR CONDITIONPOWER STEERINGPOWER MIRRORPOWER WINDOWEngine (cc)660DetailsWagon R Fz Safety 2017Genuine Mileage2 ownerGood conditionCall - 077897573114 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Wagon R Fz Cars in Sri LankaSuzuki Wagon R Fz 2017 Cars in Sri LankaSuzuki Wagon R Fz Cars in Katunayake Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-wagon-r-sale-katunayake-10893448
hero,N/A,2011,N/A,N/A,1234,N/A,https://riyasewana.com/buy/hero-honda-pleasure-sale-mirigama-10893470
nissan,N/A,1996,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsNissan FB14 1996 Car (Used)Posted by Charith Ishara on 2025-12-14 1:35 pm Homagama< BackContact075 853 6699Price 3500000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeNissanModelFB14YOM1996Mileage (km)1800000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1500DetailsEngin running condition 💯Engin diky room originalOriginal interiorOriginal seet flor carpertPower mirrorAir conditionPower steeringSuper saloonPower antennaAll light metar working 💯New tyersNew battry ammaronRegister owner used301-****No error good condition carHomagama kiriwattuduwa075853669968 Views⚠Report a Problem☆Save Ad to FavoriteNissan Cars in Sri LankaNissan FB14 Cars in Sri LankaNissan FB14 1996 Cars in Sri LankaNissan FB14 Cars in Homagama Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/nissan-fb14-sale-homagama-10893300
suzuki,N/A,2015,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Alto 800 LXI 2015 Car (Used)Posted by Akland on 2025-12-14 1:22 pm Kadawatha< BackContact076 632 4967Price 3590000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelAlto 800 LXIYOM2015Mileage (km)120000GearManualFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)800Detailsකඩවත මාවරමන්ඩිය2015/20152nd ownerHome usedOriginal plentCall 0766324967/0718617721/076566175673 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Alto 800 LXI Cars in Sri LankaSuzuki Alto 800 LXI 2015 Cars in Sri LankaSuzuki Alto 800 LXI Cars in Kadawatha Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-alto-800-sale-kadawatha-10893228
nissan,N/A,2003,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsNissan FB15nEx Saloon 2003 Car (Used)Posted by Autolanka on 2025-12-14 2:08 pm Kottawa< BackContact076 723 6735Price 1775000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeNissanModelFB15nEx SaloonYOM2003Mileage (km)1234GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)-Detailsෆිනෑන්ස් ගෙවාගෙන යාමට පමණයිඅතට 17.75/=ෆිනෑන්ස් 67000 x 52Nissan FB15Ex saloon1500ccAuto full option2000 / 2003Minit conditionLocation kottawa24 Views⚠Report a Problem☆Save Ad to FavoriteNissan Cars in Sri LankaNissan FB15nEx Saloon Cars in Sri LankaNissan FB15nEx Saloon 2003 Cars in Sri LankaNissan FB15nEx Saloon Cars in Kottawa Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/nissan-nissan-fb15nex-sale-kottawa-10893463
toyota,N/A,2008,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPremium AdToyota Allion 260 G Grade 2008 Car (Used)Posted by BANDULA on 2025-12-05 12:08 pm Kurunegala< BackContact071 448 9365Price 8350000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelAllion 260 G GradeYOM2008Mileage (km)201500GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1500DetailsYOM 2008/12YOR 2010Registered Owner201430 KMGenuine MillageService records availableBody kitBlack interiorPower mirrorPower ShutterPush StartKey less entry systemIllumination dashboardOriginal interior no any damagesAccident freeRunning & paint condition 100%Price Negotiable04km from kurunegala town3951 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Allion 260 G Grade Cars in Sri LankaToyota Allion 260 G Grade 2008 Cars in Sri LankaToyota Allion 260 G Grade Cars in Kurunegala Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-allion-260-sale-kurunegala-10849122
toyota,N/A,1997,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota CE108 1997 Car (Used)Posted by Lasantha on 2025-12-14 1:40 pm Matara< BackContact071 811 6612Price 2850000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelCE108YOM1997Mileage (km)231000GearAutomaticFuel TypeDieselOptionsAIR CONDITION POWER STEERINGEngine (cc)2000DetailsToyota Corolla CE108 Elephant Back2C Molly EngineAuto A/C P/SAir BagNew BatteryGood TyersOriginal Body ConditionGood Runing ConditionOriginal InteriorClear DocumentsPrice Can be negotiate aftrr Inspection51 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota CE108 Cars in Sri LankaToyota CE108 1997 Cars in Sri LankaToyota CE108 Cars in Matara Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-ce108-sale-matara-10893324
mitsubishi,N/A,1978,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsMitsubishi Lancer 1978 Car (Used)Posted by Manoj Prasanna on 2025-12-14 1:25 pm Kadawatha< BackContact072 345 0517Price 625000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeMitsubishiModelLancerYOM1978Mileage (km)-GearManualFuel TypePetrolOptions-Engine (cc)1400DetailsGood Running Conditions.A/C Available57 Views⚠Report a Problem☆Save Ad to FavoriteMitsubishi Cars in Sri LankaMitsubishi Lancer Cars in Sri LankaMitsubishi Lancer 1978 Cars in Sri LankaMitsubishi Lancer Cars in Kadawatha Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/mitsubishi-lancer-sale-kadawatha-10893246
toyota,N/A,2014,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPremium AdToyota Axio G Grade 2014 Car (Used)Posted by Daminda Wanigasekara on 2025-12-14 8:33 am Gampaha< BackContact071 483 6225Price 9400000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelAxio G GradeYOM2014Mileage (km)161000GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1500DetailsSecond registered owner vehiclePush start & key less entryDual multi function steeringFront/rear cameraBrand new hybrid battery &ABS unit recently replaceAll services engine tune up &Auto gear oil cheng on timeservice record available (0 to uptodate)Two smart keysNew Japan tyresAccident freeExcellent showroom conditionNothing to do any repairsImmediate sale due to migration93 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Axio G Grade Cars in Sri LankaToyota Axio G Grade 2014 Cars in Sri LankaToyota Axio G Grade Cars in Gampaha Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-axio-g-sale-gampaha-10891126
