Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,ELECTRIC,78.0,GAMPAHA,RECONDITIONED,2025.0,18,5AA-A202A,RAIZE
CAR,B.M.W.,3BA-7K15-2181,GERMANY,PETROL,1498.0,GAMPAHA,RECONDITIONED,2023.0,1,3BA-7K15-2181,Unknown
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,650.0,GAMPAHA,RECONDITIONED,2024.0,1,5BA-MH85S,WAGON R
CAR,DAIHATSU,5BA-LA350S   MIRA,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2024.0,1,5BA-LA350S,MIRA
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,2023.0,4,5BA-MH85S,WAGON R
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,KANDY,RECONDITIONED,2023.0,1,6AA-MXPJ10,YARIS
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2023.0,1,5AA-B44W,DAYZ
CAR,TOYOTA,6AA-MXPJ10  YARIS,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2025.0,1,6AA-MXPJ10,YARIS
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,KANDY,RECONDITIONED,2025.0,13,5AA-A202A,RAIZE
CAR,SUZUKI,3BD-DA17V  EVERY,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2024.0,1,3BD-DA17V,EVERY
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,14,5BD-DA17V,EVERY
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1490.0,KANDY,RECONDITIONED,2025.0,1,6AA-RV5,VEZEL
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,COLOMBO,RECONDITIONED,2025.0,13,5AA-A202A,RAIZE
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,BATTICALOA,RECONDITIONED,2025.0,2,,CITY RS
CAR,TOYOTA,5BA-LA350A PIXIS,JAPAN,PETROL,658.0,KANDY,RECONDITIONED,2023.0,1,5BA-LA350A,PIXIS
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,GAMPAHA,RECONDITIONED,2024.0,11,3BA-TRJ250W,VX
CAR,DAIHATSU,5BA-LA900S TAFT,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2023.0,1,5BA-LA900S,TAFT
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO ROCCO,THAILAND,DIESEL,2755.0,MONERAGALA,RECONDITIONED,2025.0,1,,HILUX REVO ROCCO
CAR,SUZUKI,3BA-JB64W JIMNY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2025.0,2,3BA-JB64W,JIMNY
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,COLOMBO,RECONDITIONED,2022.0,1,5BA-A201A,RAIZE
CAR,TOYOTA,URBAN CRUISER TAISOR,INDIA,PETROL,998.0,MATALE,RECONDITIONED,2025.0,1,,URBAN CRUISER TAISOR
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1490.0,MATALE,RECONDITIONED,2025.0,2,6AA-RV5,VEZEL
CAR,AUDI,3AA-GYDLA A3,GERMANY,PETROL,996.0,KALUTARA,RECONDITIONED,2022.0,1,3AA-GYDLA,A3
COMMERCIAL,TOYOTA,3DF-GDH223B HIACE,JAPAN,DIESEL,2754.0,KANDY,RECONDITIONED,2025.0,1,3DF-GDH223B,HIACE
CAR,SUZUKI,4AA-MK54S SPACIA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,5,4AA-MK54S,SPACIA
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,2023.0,2,3BA-HA37S,ALTO
CAR,TOYOTA,5BA-M700A PASSO,JAPAN,PETROL,996.0,HAMBANTOTA,RECONDITIONED,2023.0,1,5BA-M700A,PASSO
CAR,MITSUBISHI,5BA-B33W EK WAGON,JAPAN,PETROL,659.0,COLOMBO,RECONDITIONED,2023.0,2,5BA-B33W,EK WAGON
CAR,NISSAN,5AAB44 DAYZ,JAPAN,PETROL,659.0,GAMPAHA,RECONDITIONED,2023.0,1,,5AAB44 DAYZ
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,656.0,POLONNARUWA,RECONDITIONED,2023.0,2,3BA-HA37S,ALTO
CAR,SUZUKI,3BA-HA37S ALTO,JAPAN,PETROL,656.0,POLONNARUWA,RECONDITIONED,2024.0,1,3BA-HA37S,ALTO
CAR,DAIHATSU,5BA-LA350S    MIRA,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2023.0,1,5BA-LA350S,MIRA
CAR,TOYOTA,5BA-KSP210  YARIS,JAPAN,PETROL,996.0,GAMPAHA,RECONDITIONED,2024.0,1,5BA-KSP210,YARIS
SINGLE CAB,NISSAN,3BD-DR16T CLIPPER,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,4,3BD-DR16T,CLIPPER
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,JAFFNA,RECONDITIONED,2023.0,1,5BA-LA350S,MIRA
CAR,SUZUKI,5BA-MH85S,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2023.0,2,5BA-MH85S,WAGON TR
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,BADULLA,RECONDITIONED,2025.0,1,5AA-A202A,RAIZE
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,TRINCOMALEE,RECONDITIONED,2024.0,1,3BA-TRJ250W,VX
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,1196.0,AMPARA,RECONDITIONED,2025.0,4,5AA-A202A,RAIZE
CAR,SUZUKI,3BD-DA17V EVERY,JAPAN,PETROL,656.0,MATARA,RECONDITIONED,2024.0,1,3BD-DA17V,EVERY
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX ROCCO 2.8,THAILAND,DIESEL,2755.0,GALLE,RECONDITIONED,2025.0,1,,HILUX ROCCO 2.8
CAR,TOYOTA,5AA-A202A  RAIZE,JAPAN,PETROL/ELE,1196.0,GAMPAHA,RECONDITIONED,2023.0,1,5AA-A202A,RAIZE
CAR,MITSUBISHI,5BA-B33W EK WAGON,JAPAN,PETROL,659.0,KURUNEGALA,RECONDITIONED,2023.0,1,5BA-B33W,EK WAGON
CAR,NISSAN,4AA-B45W DAYZ,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,2,4AA-B45W,DAYZ
CAR,TOYOTA,3DA-GD250W,JAPAN,DIESEL,2754.0,KANDY,RECONDITIONED,2024.0,1,3DA-GD250W,Unknown
CAR,TOYOTA,3BA-TRJ150W,JAPAN,PETROL,2696.0,COLOMBO,RECONDITIONED,2023.0,2,3BA-TRJ150W,PRADO
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,KALUTARA,RECONDITIONED,2024.0,4,5BA-LA350S,MIRA ES
CAR,TOYOTA,3DA-GDJ250W LCRUISER,JAPAN,DIESEL,2754.0,KANDY,RECONDITIONED,2024.0,1,3DA-GDJ250W,LCRUISER
CAR,TOYOTA,5AA-A202A  RAIZE,JAPAN,PETROL/ELE,78.0,MATARA,RECONDITIONED,2025.0,1,5AA-A202A,RAIZE
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,RATNAPURA,RECONDITIONED,2023.0,2,5BA-A201A,RAIZE
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,24,5BD-DA17V,EVERY
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2024.0,5,6AA-MXPJ10,YARIS
MOTOR CYCLE,HONDA,PCX,JAPAN,PETROL,160.0,GALLE,RECONDITIONED,2025.0,1,,PCX
CAR,TOYOTA,URBAN CRUISER TAISOR,INDIA,PETROL,998.0,GAMPAHA,RECONDITIONED,2024.0,14,,URBAN CRUISER TAISOR
MOTOR CYCLE,HONDA,ADV 160,JAPAN,PETROL,157.0,COLOMBO,RECONDITIONED,2025.0,8,,ADV 160
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,AMPARA,RECONDITIONED,2025.0,2,4AA-MH55S,WAGON R
CAR,SUZUKI,5AA-HA97S ALTO,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,1,5AA-HA97S,ALTO
CAR,HONDA,6AA-RV5,JAPAN,PETROL/ELE,1496.0,GAMPAHA,RECONDITIONED,2024.0,2,6AA-RV5,VEEZL
CAR,HONDA,6BA-JF5 N BOX,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2025.0,1,6BA-JF5,N BOX
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,HAMBANTOTA,RECONDITIONED,2025.0,9,6AA-RV5,VEZEL
CAR,NISSAN,5AA-B44W DAYZ,JAPAN,PETROL,658.0,AMPARA,RECONDITIONED,2024.0,1,5AA-B44W,DAYZ
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2024.0,5,5AA-MK94S,SPACIA
CAR,NISSAN,ALMERA EL,THAILAND,PETROL,999.0,ANURADHAPURA,RECONDITIONED,2025.0,1,,ALMERA EL
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2024.0,4,5BA-LA350S,MIRA ES
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KURUNEGALA,RECONDITIONED,2025.0,26,6AA-RV5,VEZEL
CAR,NISSAN,5AA-B44A ROOX,JAPAN,PETROL,659.0,KANDY,RECONDITIONED,2023.0,2,5AA-B44A,ROOX
CAR,SUZUKI,4AA-MH55S WAGON R,JAPAN,PETROL,658.0,JAFFNA,RECONDITIONED,2024.0,2,4AA-MH55S,WAGON R
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,GAMPAHA,RECONDITIONED,2025.0,11,,CITY RS
CAR,NISSAN,ALMERA,THAILAND,PETROL,999.0,KEGALLE,RECONDITIONED,2025.0,3,,ALMERA
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,GALLE,RECONDITIONED,2025.0,29,6AA-RV5,VEZEL
CAR,SUZUKI,4AA-MK54S SPACIA,JAPAN,PETROL,658.0,KEGALLE,RECONDITIONED,2025.0,3,4AA-MK54S,SPACIA
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,659.0,HAMBANTOTA,RECONDITIONED,2025.0,1,5BA-MH85S,WAGON R
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,KURUNEGALA,RECONDITIONED,2023.0,8,3BA-A210A,RAIZE
MOTOR CYCLE,HONDA,PCX160,INDONESIA,PETROL,157.0,KANDY,RECONDITIONED,2025.0,1,,PCX160
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,PUTTALAM,RECONDITIONED,2025.0,16,6AA-RV5,VEZEL
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,656.0,COLOMBO,RECONDITIONED,2023.0,1,5BA-B43W,DAYZ
CAR,SUZUKI,5BD-DA17V,JAPAN,PETROL,658.0,HAMBANTOTA,RECONDITIONED,2025.0,1,5BD-DA17V,EVEVRY
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,KANDY,RECONDITIONED,2024.0,1,5AA-A202A,RAIZE
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,KALUTARA,RECONDITIONED,2022.0,2,5BA-KSP210,YARIS
CAR,NISSAN,6AA-GFC28 SERENA,JAPAN,PETROL/ELE,120.0,COLOMBO,RECONDITIONED,2025.0,1,6AA-GFC28,SERENA
CAR,TOYOTA,3BA-TRJ250W,JAPAN,PETROL,2693.0,GAMPAHA,RECONDITIONED,2025.0,4,3BA-TRJ250W,VX
CAR,DAIHATSU,5BA-LA350S MIRA E.S,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2024.0,1,5BA-LA350S,MIRA E.S
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,GAMPAHA,RECONDITIONED,2023.0,7,5BA-A201A,RAIZE
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,BADULLA,RECONDITIONED,2023.0,1,6AA-RV5,VEZEL
CAR,TOYOTA,6AA-ZVG13 COROLLA,JAPAN,PETROL/ELE,1798.0,COLOMBO,RECONDITIONED,2025.0,1,6AA-ZVG13,COROLLA
CAR,TOYOTA,URBAN CRUISER HYRYD,JAPAN,PETROL/ELE,1496.0,POLONNARUWA,RECONDITIONED,2025.0,1,,URBAN CRUISER HYRYD
CAR,HONDA,6AA RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KANDY,RECONDITIONED,2025.0,6,,6AA RV5 VEZEL
DUAL PURPOSE (COMMERCIAL),TOYOTA,3DF-GUN125 HILUX,THAILAND,DIESEL,2396.0,BADULLA,RECONDITIONED,2023.0,1,3DF-GUN125,HILUX
CAR,SUZUKI,5BA-MH85S WAGON R,JAPAN,PETROL,659.0,KURUNEGALA,RECONDITIONED,2023.0,1,5BA-MH85S,WAGON R
CAR,DAIHATSU,5AA-A202S ROCKY,JAPAN,PETROL/ELE,78.0,GAMPAHA,RECONDITIONED,2025.0,2,5AA-A202S,ROCKY
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,2023.0,2,5AA-MH95S,WAGON R
CAR,TOYOTA,URBAN CRUISER TAISOR,INDIA,PETROL,998.0,KANDY,RECONDITIONED,2025.0,5,,URBAN CRUISER TAISOR
CAR,TOYOTA,4BA-M900A ROOMY,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,2023.0,1,4BA-M900A,ROOMY
CAR,TOYOTA,5BA-M900A ROOMY,JAPAN,PETROL,996.0,BATTICALOA,RECONDITIONED,2024.0,2,5BA-M900A,ROOMY
CAR,SUZUKI,5AA-MK94S SPACIA,JAPAN,PETROL,658.0,KURUNEGALA,RECONDITIONED,2023.0,3,5AA-MK94S,SPACIA
MOTOR CYCLE,HONDA,PCX-125,JAPAN,PETROL,124.0,GAMPAHA,RECONDITIONED,2025.0,2,PCX-125,Unknown
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2024.0,6,5AA-MH95S,WAGON R
CAR,NISSAN,5BA-B43W DAYZ,JAPAN,PETROL,650.0,COLOMBO,RECONDITIONED,2023.0,3,5BA-B43W,DAYZ
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,2024.0,7,3BA-A210A,RAIZE
MOTOR CYCLE,HONDA,PCX160,JAPAN,PETROL,160.0,PUTTALAM,RECONDITIONED,2025.0,1,,PCX160
MOTOR CYCLE,HONDA,PCX125,VIETNAM,PETROL,124.0,GAMPAHA,RECONDITIONED,2025.0,4,,PCX125
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,NUWARA-ELIYA,RECONDITIONED,2023.0,2,5BA-KSP210,YARIS
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,PUTTALAM,RECONDITIONED,2024.0,7,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KEGALLE,RECONDITIONED,2025.0,5,6AA-RV5,VEZEL
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2023.0,5,5BD-DA17V,EVERY
CAR,MERCEDES BENZ,5AA-206043C,GERMANY,PETROL,1496.0,COLOMBO,RECONDITIONED,2022.0,1,5AA-206043C,Unknown
CAR,LEXUS,ES300H,AUSTRALIA,PETROL/ELE,2487.0,COLOMBO,RECONDITIONED,2024.0,1,,ES300H
CAR,TOYOTA,5BA-KSP210 YARIS,JAPAN,PETROL,996.0,MATARA,RECONDITIONED,2023.0,2,5BA-KSP210,YARIS
CAR,HONDA,6BA-JF3 N BOX,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2022.0,1,6BA-JF3,N BOX
CAR,AUDI,3AA-GYDLA A3,JAPAN,PETROL,999.0,COLOMBO,RECONDITIONED,2023.0,1,3AA-GYDLA,A3
DUAL PURPOSE (COMMERCIAL),TOYOTA,HILUX REVO ROCCO,THAILAND,DIESEL,2755.0,COLOMBO,RECONDITIONED,2025.0,7,,HILUX REVO ROCCO
CAR,TOYOTA,5BA-LA350A PIXIS,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,1,5BA-LA350A,PIXIS
