Title,Price,Year,Fuel,Engine,Transmission,Posted,URL,Page,Price_Numeric
Toyota Allion 240 2002 Car,"Rs. 6,325,000",2002,,,,,https://riyasewana.com/buy/toyota-allion-240-sale-chilaw-10894622,2,6325000
Suzuki Liana 2003 Car,"Rs. 3,200,000",2003,,,,,https://riyasewana.com/buy/suzuki-liana-sale-malabe-10894620,2,3200000
Suzuki Wagon R CUSTOM ZT TURBO 2024 Car,"Rs. 9,350,000",2024,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-10894616,2,9350000
Toyota Vitz Safety 2020 Car,,2020,,,,,https://riyasewana.com/buy/toyota-vitz-safety-sale-avissawella-10894613,2,0
Nissan March Ak11 2007 Car,"Rs. 4,400,000",2007,,,,,https://riyasewana.com/buy/nissan-march-ak11-sale-kadawatha-10894610,2,4400000
Daihatsu Mira 2023 Car,"Rs. 6,100,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-sale-kandy-10894608,2,6100000
Suzuki Alto 2011 Car,"Rs. 3,200,000",2011,,,,,https://riyasewana.com/buy/suzuki-alto-sale-colombo-10894607,2,3200000
Kia Picanto Full Spec 2016 Car,"Rs. 5,390,000",2016,,,,,https://riyasewana.com/buy/kia-picanto-full-sale-colombo-10894605,2,5390000
Suzuki Alto 2014 Car,"Rs. 3,725,000",2014,,,,,https://riyasewana.com/buy/suzuki-alto-sale-kandy-10894602,2,3725000
Nissan FB15 2001 Car,"Rs. 3,975,000",2001,,,,,https://riyasewana.com/buy/nissan-fb15-sale-matale-10894599,2,3975000
Volkswagen Beetal 1958 Car,"Rs. 190,000",1958,,,,,https://riyasewana.com/buy/volkswagen-beetal-sale-bandaragama-10894590,2,190000
Suzuki Celerio 2015 Car,"Rs. 4,790,000",2015,,,,,https://riyasewana.com/buy/suzuki-celerio-sale-nugegoda-10894582,2,4790000
Suzuki Alto 800 LXI 2015 Car,"Rs. 3,650,000",2015,,800 L,,,https://riyasewana.com/buy/suzuki-alto-800-sale-matara-10894581,2,3650000
Suzuki Alto Lxi 2015 Car,"Rs. 3,590,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-lxi-sale-galle-10894577,2,3590000
Toyota AE100 SE LIMITED 1996 Car,,1996,,,,,https://riyasewana.com/buy/toyota-ae100-se-sale-homagama-10894573,2,0
Toyota Aqua 2012 Car,"Rs. 7,250,000",2012,,,,,https://riyasewana.com/buy/toyota-aqua-sale-ratnapura-10894570,2,7250000
Suzuki WAGON R STINGRAY 2014 Car,"Rs. 5,690,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-10894565,2,5690000
Suzuki Swift 2010 Car,"Rs. 6,390,000",2010,,,,,https://riyasewana.com/buy/suzuki-swift-sale-chilaw-10894564,2,6390000
Suzuki Alto Lxi 2012 Car,"Rs. 3,025,000",2012,,,,,https://riyasewana.com/buy/suzuki-alto-lxi-sale-galle-10894563,2,3025000
Toyota Allion 2007 Car,"Rs. 8,500,000",2007,,,,,https://riyasewana.com/buy/toyota-allion-sale-bentota-10894562,2,8500000
Suzuki Wagon R 2017 Car,"Rs. 5,800,000",2017,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-marawila-10894560,2,5800000
Nissan Trad Sunny HB12 1985 Car,"Rs. 1,750,000",1985,,,,,https://riyasewana.com/buy/nissan-trad-sunny-sale-mawanella-10894556,2,1750000
Nissan Bluebird 1988 Car,"Rs. 450,000",1988,,,,,https://riyasewana.com/buy/nissan-bluebird-sale-tangalle-10894548,2,450000
Suzuki Wagon R Stingray Safety Hybrid 2018 Car,"Rs. 7,995,000",2018,Hybrid,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-horana-10894547,2,7995000
Toyota Prius 2012 Car,"Rs. 8,900,000",2012,,,,,https://riyasewana.com/buy/toyota-prius-sale-moneragala-10894544,2,8900000
Toyota Vitz 3rd Edition 2019 Car,"Rs. 8,950,000",2019,,,,,https://riyasewana.com/buy/toyota-vitz-3rd-sale-kelaniya-10894538,2,8950000
Suzuki Maruti 2008 Car,"Rs. 2,150,000",2008,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-matara-10894537,2,2150000
Toyota Corolla 110 1997 Car,,1997,,,,,https://riyasewana.com/buy/toyota-corolla-110-sale-kuliyapitiya-10894533,2,0
Suzuki ALTO JAPAN 2023 Car,"Rs. 685,000",2023,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-horana-10894531,2,685000
Audi A3 Sportback S Line 2023 Car,"Rs. 19,225,000",2023,,,,,https://riyasewana.com/buy/audi-a3-sportback-sale-colombo-10894524,2,19225000
Toyota Aqua GS Sport 2014 Car,"Rs. 8,575,000",2014,,,,,https://riyasewana.com/buy/toyota-aqua-gs-sale-avissawella-10894523,2,8575000
Daihatsu MIRA X LIMITED 2024 Car,,2024,,,,,https://riyasewana.com/buy/daihatsu-mira-x-sale-horana-10894519,2,0
Daihatsu MIRA G GRADE 2024 Car,"Rs. 7,050,000",2024,,,,,https://riyasewana.com/buy/daihatsu-mira-g-sale-nugegoda-10894514,2,7050000
Toyota Corolla Ke55 1978 Car,"Rs. 455,000",1978,,,,,https://riyasewana.com/buy/toyota-corolla-ke55-sale-gampaha-10894513,2,455000
Datsun B211 1987 Car,"Rs. 1,275,000",1987,,,,,https://riyasewana.com/buy/datsun-b211-sale-panadura-10894507,2,1275000
Nissan FB13 1992 Car,"Rs. 2,150,000",1992,,,,,https://riyasewana.com/buy/nissan-fb13-sale-bandaragama-10894506,2,2150000
Toyota Passo Moda 2016 Car,"Rs. 6,950,000",2016,,,,,https://riyasewana.com/buy/toyota-passo-moda-sale-matara-10894505,2,6950000
Toyota Axio 2016 Car,,2016,,,,,https://riyasewana.com/buy/toyota-axio-sale-kandy-10888530,3,0
Toyota PASSO 2009 Car,"Rs. 5,250,000",2009,,,,,https://riyasewana.com/buy/toyota-passo-sale-dompe-10871427,3,5250000
Nissan Dayz Highway Star X Hybrid 2024 Car,"Rs. 8,350,000",2024,Hybrid,,,,https://riyasewana.com/buy/nissan-dayz-highway-sale-colombo-10891093,3,8350000
Toyota PRIUS 4th Generation W50 2016 Car,"Rs. 14,200,000",2016,,,,,https://riyasewana.com/buy/toyota-prius-4th-sale-kandana-10882922,3,14200000
Toyota Premio NZT260 G SUPERIOR 2019 Car,"Rs. 17,500,000",2019,,,,,https://riyasewana.com/buy/toyota-premio-nzt260-sale-battaramulla-10894503,3,17500000
Toyota Prius 2011 Car,"Rs. 8,750,000",2011,,,,,https://riyasewana.com/buy/toyota-prius-sale-piliyandala-10894500,3,8750000
Nissan FB14 1994 Car,"Rs. 2,790,000",1994,,,,,https://riyasewana.com/buy/nissan-fb14-sale-matara-10894498,3,2790000
Honda Fit Gp1 Navi Premium 2012 Car,"Rs. 6,450,000",2012,,,,,https://riyasewana.com/buy/honda-fit-gp1-sale-kesbewa-10894495,3,6450000
Toyota Vitz 2019 Car,"Rs. 8,975,000",2019,,,,,https://riyasewana.com/buy/toyota-vitz-sale-kegalle-10894488,3,8975000
Volkswagen Polo R-Line 2023 Car,"Rs. 12,950,000",2023,,,,,https://riyasewana.com/buy/volkswagen-polo-r-line-sale-colombo-10894478,3,12950000
Honda Grace Ex 2015 Car,,2015,,,,,https://riyasewana.com/buy/honda-grace-ex-sale-kandy-10894477,3,0
Toyota Premio G Superior 2019 Car,"Rs. 17,600,000",2019,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-negombo-10894472,3,17600000
Perodua Viva Elite 2011 Car,"Rs. 4,250,000",2011,,,,,https://riyasewana.com/buy/perodua-viva-elite-sale-galle-10894471,3,4250000
Suzuki Alto 2015 Car,"Rs. 3,790,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-hanwella-10894470,3,3790000
Toyota Vitz 2008 Car,,2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-colombo-10894466,3,0
Toyota Allion 260 2013 Car,"Rs. 10,800,000",2013,,,,,https://riyasewana.com/buy/toyota-allion-260-sale-ragama-10894463,3,10800000
Nissan FB13 Doctor Sunny 1993 Car,"Rs. 2,075,000",1993,,,,,https://riyasewana.com/buy/nissan-fb13-doctor-sale-chilaw-10894455,3,2075000
Suzuki Wagon R Stingray 2014 Car,"Rs. 5,690,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-panadura-10894454,3,5690000
Volkswagen Passat B5.5 2001 Car,,2001,,,,,https://riyasewana.com/buy/volkswagen-passat-b5-5-sale-kegalle-10894445,3,0
Suzuki Maruti Esteem 1998 Car,"Rs. 1,850,000",1998,,,,,https://riyasewana.com/buy/suzuki-maruti-esteem-sale-kaduwela-10894439,3,1850000
Toyota ALLION 240 2006 Car,,2006,,,,,https://riyasewana.com/buy/toyota-allion-240-sale-bandarawela-10894438,3,0
Suzuki Alto Japan 2008 Car,"Rs. 4,000,000",2008,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-matugama-10894437,3,4000000
Suzuki 0773781398 2018 Car,"Rs. 7,050,000",2018,,,,,https://riyasewana.com/buy/suzuki-0773781398-sale-mirigama-10894436,3,7050000
Suzuki Alto Japan 2016 Car,"Rs. 5,325,000",2016,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-colombo-10894434,3,5325000
Toyota 110 1997 Car,"Rs. 2,950,000",1997,,,,,https://riyasewana.com/buy/toyota-110-sale-bandaragama-10894433,3,2950000
Nissan FB12 1990 Car,"Rs. 2,050,000",1990,,,,,https://riyasewana.com/buy/nissan-fb12-sale-kurunegala-10894431,3,2050000
Toyota Dx Wagon Ke72 1986 Car,,1986,,,,,https://riyasewana.com/buy/toyota-dx-wagon-sale-mirigama-10894430,3,0
Nissan Wingroad Y12 2007 Car,"Rs. 4,865,000",2007,,,,,https://riyasewana.com/buy/nissan-wingroad-y12-sale-negombo-10894428,3,4865000
Toyota Corolla 121 2003 Car,"Rs. 5,500,000",2003,,,,,https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-10894425,3,5500000
Toyota Corona AT170 1993 Car,"Rs. 1,890,000",1993,,,,,https://riyasewana.com/buy/toyota-corona-at170-sale-avissawella-10894420,3,1890000
Micro Panda 1.0 2015 Car,,2015,,,,,https://riyasewana.com/buy/micro-panda-1-0-sale-minuwangoda-10894419,3,0
Nissan Trad Sunny HB12 1989 Car,"Rs. 1,575,000",1989,,,,,https://riyasewana.com/buy/nissan-trad-sunny-sale-nittambuwa-10894416,3,1575000
Honda Fit Gp1 2013 Car,,2013,,,,,https://riyasewana.com/buy/honda-fit-gp1-sale-tangalle-10894413,3,0
Toyota Vitz 2018 Car,"Rs. 8,250,000",2018,,,,,https://riyasewana.com/buy/toyota-vitz-sale-battaramulla-10894400,3,8250000
Nissan AD Wagon Y10 1997 Car,"Rs. 2,750,000",1997,,,,,https://riyasewana.com/buy/nissan-ad-wagon-sale-horana-10894397,3,2750000
Mazda Familia 323 BG3P 1991 Car,,1991,,,,,https://riyasewana.com/buy/mazda-familia-323-sale-colombo-10894392,3,0
Honda FIT 2014 Car,"Rs. 8,200,000",2014,,,,,https://riyasewana.com/buy/honda-fit-sale-malabe-10894390,3,8200000
Suzuki Ertiga 07 Seater 2015 Car,"Rs. 5,575,000",2015,,,,,https://riyasewana.com/buy/suzuki-ertiga-07-sale-malabe-10894386,3,5575000
Kia Picanto 2016 Car,"Rs. 5,575,000",2016,,,,,https://riyasewana.com/buy/kia-picanto-sale-colombo-10894382,3,5575000
Nissan Super Saloon 1985 Car,"Rs. 1,495,000",1985,,,,,https://riyasewana.com/buy/nissan-super-saloon-sale-panadura-10894380,3,1495000
Mitsubishi Lancer Box 1983 Car,"Rs. 820,000",1983,,,,,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-ampara-10894374,3,820000
Toyota VITZ KSP90 2008 Car,"Rs. 5,640,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kandy-10894366,3,5640000
Suzuki WAGON R STINGRAY 2019 Car,"Rs. 7,250,000",2019,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kalmunai-10894364,3,7250000
Mitsubishi Galant VR4 V6 1997 Car,,1997,,,,,https://riyasewana.com/buy/mitsubishi-galant-vr4-sale-kottawa-10894362,3,0
Suzuki Wagon R Custom ZX Upgrade 2025 Car,"Rs. 8,975,000",2025,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-wattala-10854021,4,8975000
Suzuki WAGON R FX SAFETY 2024 Car,"Rs. 7,125,000",2024,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-veyangoda-10873062,4,7125000
Daihatsu Mira X Limited LED Version 2023 Car,"Rs. 6,650,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-10891086,4,6650000
Toyota Axio X Grade 2007 Car,"Rs. 7,260,000",2007,,,,,https://riyasewana.com/buy/toyota-axio-x-sale-colombo-10850129,4,7260000
Micro BAIC D 20 2017 Car,"Rs. 5,350,000",2017,,,,,https://riyasewana.com/buy/micro-baic-d-sale-welimada-10894360,4,5350000
Suzuki A-Star Zxi 2012 Car,"Rs. 4,150,000",2012,,,,,https://riyasewana.com/buy/suzuki-a-star-zxi-sale-ratnapura-10894358,4,4150000
Toyota Vitz 2008 Car,"Rs. 5,700,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-kurunegala-10894355,4,5700000
Nissan FB15New Shell 2003 Car,"Rs. 4,675,000",2003,,,,,https://riyasewana.com/buy/nissan-fb15new-shell-sale-kandy-10894352,4,4675000
Toyota VITZ KSP90 2008 Car,"Rs. 5,650,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kadawatha-10894349,4,5650000
Suzuki Alto Japan 2015 Car,,2015,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-polonnaruwa-10894345,4,0
Suzuki Swift 2011 Car,"Rs. 6,200,000",2011,,,,,https://riyasewana.com/buy/suzuki-swift-sale-moneragala-10894341,4,6200000
Toyota Prius S Touring My Coordinatio 2014 Car,"Rs. 11,340,000",2014,,,,,https://riyasewana.com/buy/toyota-prius-s-sale-malabe-10894337,4,11340000
Nissan FB15 Ex Saloon 2003 Car,,2003,,,,,https://riyasewana.com/buy/nissan-fb15-ex-sale-anuradapura-10894335,4,0
Suzuki Wagon R Fx 2018 Car,"Rs. 5,995,000",2018,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10894333,4,5995000
Suzuki WAGON R STINGRAY J STYLE 2015 Car,"Rs. 6,150,000",2015,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10894332,4,6150000
Daihatsu ROCKY 2024 Car,"Rs. 11,950,000",2024,,,,,https://riyasewana.com/buy/daihatsu-rocky-sale-malabe-10894331,4,11950000
Toyota Allion 260 2008 Car,"Rs. 8,950,000",2008,,,,,https://riyasewana.com/buy/toyota-allion-260-sale-veyangoda-10894330,4,8950000
Toyota VITZ 2008 Car,"Rs. 6,090,000",2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-malabe-10894328,4,6090000
Suzuki Alto 2015 Car,"Rs. 4,000,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-galle-10894323,4,4000000
Renault KWID 2016 Car,"Rs. 3,590,000",2016,,,,,https://riyasewana.com/buy/renault-kwid-sale-malabe-10894319,4,3590000
Suzuki SWIFT 2004 Car,"Rs. 4,250,000",2004,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kurunegala-10894316,4,4250000
Perodua VIVA ELITE 2012 Car,"Rs. 4,200,000",2012,,,,,https://riyasewana.com/buy/perodua-viva-elite-sale-boralesgamuwa-10894313,4,4200000
Suzuki Wagon R 2017 Car,"Rs. 5,975,000",2017,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-koggala-10894311,4,5975000
Micro Panda LC 1.0 2012 Car,"Rs. 2,590,000",2012,,,,,https://riyasewana.com/buy/micro-panda-lc-sale-malabe-10894309,4,2590000
Daewoo Matiz 2002 Car,"Rs. 1,690,000",2002,,,,,https://riyasewana.com/buy/daewoo-matiz-sale-malabe-10894306,4,1690000
Suzuki Swift 2008 Car,"Rs. 5,800,000",2008,,,,,https://riyasewana.com/buy/suzuki-swift-sale-dehiwala-mount-lavinia-10894299,4,5800000
Suzuki Wagon R 2014 Car,"Rs. 5,485,000",2014,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-moratuwa-10894297,4,5485000
Suzuki Wagon R 2017 Car,"Rs. 6,250,000",2017,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-embilipitiya-10894293,4,6250000
Toyota PASSO 2020 Car,"Rs. 6,550,000",2020,,,,,https://riyasewana.com/buy/toyota-passo-sale-moneragala-10894287,4,6550000
Micro Panda 2014 Car,,2014,,,,,https://riyasewana.com/buy/micro-panda-sale-colombo-10894286,4,0
Toyota Vitz 2008 Car,,2008,,,,,https://riyasewana.com/buy/toyota-vitz-sale-colombo-10894285,4,0
Toyota COROLLA AE110 1996 Car,"Rs. 3,390,000",1996,,,,,https://riyasewana.com/buy/toyota-corolla-ae110-sale-malabe-10894282,4,3390000
Toyota Corsa Tercel 1997 Car,,1997,,,,,https://riyasewana.com/buy/toyota-corsa-tercel-sale-kandy-10894277,4,0
Micro X25 2018 Car,"Rs. 2,200,000",2018,,,,,https://riyasewana.com/buy/micro-x25-sale-gampaha-10894270,4,2200000
Toyota Yaris X Grade 2023 Car,"Rs. 9,090,000",2023,,,,,https://riyasewana.com/buy/toyota-yaris-x-sale-piliyandala-10894269,4,9090000
Suzuki Alto 2015 Car,"Rs. 3,745,000",2015,,,,,https://riyasewana.com/buy/suzuki-alto-sale-horana-10894267,4,3745000
Daihatsu MIRA SAFETY 2023 Car,"Rs. 6,600,000",2023,,,,,https://riyasewana.com/buy/daihatsu-mira-safety-sale-boralesgamuwa-10894257,4,6600000
Honda Grace EX 2014 Car,"Rs. 9,250,000",2014,,,,,https://riyasewana.com/buy/honda-grace-ex-sale-kandy-10894253,4,9250000
Chevrolet Beat 2011 Car,"Rs. 3,100,000",2011,,,,,https://riyasewana.com/buy/chevrolet-beat-sale-ja-ela-10894249,4,3100000
Honda INSIGHT ZE2 2011 Car,"Rs. 7,550,000",2011,,,,,https://riyasewana.com/buy/honda-insight-ze2-sale-matara-10894243,4,7550000
Datsun Redi-GO 2017 Car,"Rs. 3,490,000",2017,,,,,https://riyasewana.com/buy/datsun-redi-go-sale-malabe-10894233,4,3490000
Hyundai Matrix 2002 Car,"Rs. 2,875,000",2002,,,,,https://riyasewana.com/buy/hyundai-matrix-sale-colombo-10894232,4,2875000
Daihatsu Daihatsu 1992 Car,,1992,,,,,https://riyasewana.com/buy/daihatsu-daihatsu-sale-balangoda-10894231,4,0
Toyota Axio G Grade 2010 Car,"Rs. 7,250,000",2010,,,,,https://riyasewana.com/buy/toyota-axio-g-sale-kandy-10894228,4,7250000
Toyota YARIS X GRADE 2024 Car,"Rs. 9,625,000",2024,,,,,https://riyasewana.com/buy/toyota-yaris-x-sale-kaduwela-10876740,5,9625000
Suzuki WAGON R CUSTOM Z 2025 Car,"Rs. 7,750,000",2025,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10866144,5,7750000
Toyota PRIUS 4th Generation W50 2016 Car,"Rs. 14,200,000",2016,,,,,https://riyasewana.com/buy/toyota-prius-4th-sale-kandana-10882922,5,14200000
Suzuki Wagon R Fx Safety 2023 Car,"Rs. 7,150,000",2023,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10891075,5,7150000
Suzuki Alto 2019 Car,"Rs. 4,390,000",2019,,,,,https://riyasewana.com/buy/suzuki-alto-sale-nugegoda-10894224,5,4390000
Volvo 740 GLE 1989 Car,,1989,,,,,https://riyasewana.com/buy/volvo-740-gle-sale-malabe-10894222,5,0
Toyota Corona AT 150 1987 Car,"Rs. 1,250,000",1987,,,,,https://riyasewana.com/buy/toyota-corona-at-sale-katunayake-10894216,5,1250000
Nissan March K11 2001 Car,,2001,,,,,https://riyasewana.com/buy/nissan-march-k11-sale-wattala-10894214,5,0
BMW 320i 2011 Car,,2011,,,,,https://riyasewana.com/buy/bmw-320i-sale-colombo-10894211,5,0
